-0.3,0.9,0.2,0.85847,0.18529,0.76331
-0.3,1,0.2,0.91329,0.13047,0.83333
-0.2,-1,0.2,0.88012,0.16363,0.79097
-0.2,-0.9,0.2,0.85847,0.18529,0.76331
-0.2,-0.8,0.2,0.8155,0.22826,0.70842
-0.2,-0.7,0.2,0.75013,0.29362,0.62492
-0.2,-0.6,0.2,0.74797,0.29578,0.62215
-0.2,-0.5,0.2,0.75013,0.29362,0.62492
-0.2,-0.4,0.2,0.6921,0.35166,0.59691
-0.2,-0.3,0.2,0.65235,0.39141,0.54236
-0.2,-0.2,0.2,0.53118,0.50632,0.45764
-0.2,-0.1,0.2,0.50531,0.53589,0.45477
-0.2,0,0.2,0.4477,0.60179,0.45764
-0.2,0.1,0.2,0.50531,0.53589,0.45477
-0.2,0.2,0.2,0.53118,0.50632,0.45764
-0.2,0.3,0.2,0.65235,0.39141,0.54236
-0.2,0.4,0.2,0.6921,0.35166,0.59691
-0.2,0.5,0.2,0.75013,0.29362,0.62492
-0.2,0.6,0.2,0.74797,0.29578,0.62215
-0.2,0.7,0.2,0.75013,0.29362,0.62492
-0.2,0.8,0.2,0.8155,0.22826,0.70842
-0.2,0.9,0.2,0.85847,0.18529,0.76331
-0.2,1,0.2,0.88012,0.16363,0.79097
-0.1,-1,0.2,0.83742,0.20633,0.73643
-0.1,-0.9,0.2,0.83742,0.20633,0.73643
-0.1,-0.8,0.2,0.81766,0.22609,0.71118
-0.1,-0.7,0.2,0.74797,0.29578,0.62215
-0.1,-0.6,0.2,0.70716,0.33659,0.57003
-0.1,-0.5,0.2,0.70716,0.33659,0.57003
-0.1,-0.4,0.2,0.65235,0.39141,0.57003
-0.1,-0.3,0.2,0.6126,0.43116,0.54523
-0.1,-0.2,0.2,0.50531,0.53589,0.45477
-0.1,-0.1,0.2,0.4412,0.61883,0.40309
-0.1,0,0.2,0.37366,0.71708,0.40309
-0.1,0.1,0.2,0.4412,0.61883,0.40309
-0.1,0.2,0.2,0.50531,0.53589,0.45477
-0.1,0.3,0.2,0.6126,0.43116,0.54523
-0.1,0.4,0.2,0.65235,0.39141,0.57003
-0.1,0.5,0.2,0.70716,0.33659,0.57003
-0.1,0.6,0.2,0.70716,0.33659,0.57003
-0.1,0.7,0.2,0.74797,0.29578,0.62215
-0.1,0.8,0.2,0.81766,0.22609,0.71118
-0.1,0.9,0.2,0.83742,0.20633,0.73643
-0.1,1,0.2,0.83742,0.20633,0.73643
0,-1,0.2,0.78282,0.26094,0.66667
0,-0.9,0.2,0.78282,0.26094,0.66667
0,-0.8,0.2,0.78282,0.26094,0.66667
0,-0.7,0.2,0.75013,0.29362,0.62492
0,-0.6,0.2,0.70716,0.33659,0.57003
0,-0.5,0.2,0.65235,0.39141,0.5
0,-0.4,0.2,0.59753,0.44623,0.5
0,-0.3,0.2,0.55456,0.48919,0.5
0,-0.2,0.2,0.4477,0.60179,0.45764
0,-0.1,0.2,0.37366,0.71708,0.40309
0,0,0.2,0.26094,1,0.33333
0,0.1,0.2,0.37366,0.71708,0.40309
0,0.2,0.2,0.4477,0.60179,0.45764
0,0.3,0.2,0.55456,0.48919,0.5
0,0.4,0.2,0.59753,0.44623,0.5
0,0.5,0.2,0.65235,0.39141,0.5
0,0.6,0.2,0.70716,0.33659,0.57003
0,0.7,0.2,0.75013,0.29362,0.62492
0,0.8,0.2,0.78282,0.26094,0.66667
0,0.9,0.2,0.78282,0.26094,0.66667
0,1,0.2,0.78282,0.26094,0.66667
0.1,-1,0.2,0.83742,0.20633,0.73643
0.1,-0.9,0.2,0.83742,0.20633,0.73643
0.1,-0.8,0.2,0.81766,0.22609,0.71118
0.1,-0.7,0.2,0.74797,0.29578,0.62215
0.1,-0.6,0.2,0.70716,0.33659,0.57003
0.1,-0.5,0.2,0.70716,0.33659,0.57003
0.1,-0.4,0.2,0.65235,0.39141,0.57003
0.1,-0.3,0.2,0.6126,0.43116,0.54523
0.1,-0.2,0.2,0.50531,0.53589,0.45477
0.1,-0.1,0.2,0.4412,0.61883,0.40309
0.1,0,0.2,0.37366,0.71708,0.40309
0.1,0.1,0.2,0.4412,0.61883,0.40309
0.1,0.2,0.2,0.50531,0.53589,0.45477
0.1,0.3,0.2,0.6126,0.43116,0.54523
0.1,0.4,0.2,0.65235,0.39141,0.57003
0.1,0.5,0.2,0.70716,0.33659,0.57003
0.1,0.6,0.2,0.70716,0.33659,0.57003
0.1,0.7,0.2,0.74797,0.29578,0.62215
0.1,0.8,0.2,0.81766,0.22609,0.71118
0.1,0.9,0.2,0.83742,0.20633,0.73643
0.1,1,0.2,0.83742,0.20633,0.73643
0.2,-1,0.2,0.88012,0.16363,0.79097
0.2,-0.9,0.2,0.85847,0.18529,0.76331
0.2,-0.8,0.2,0.8155,0.22826,0.70842
0.2,-0.7,0.2,0.75013,0.29362,0.62492
0.2,-0.6,0.2,0.74797,0.29578,0.62215
0.2,-0.5,0.2,0.75013,0.29362,0.62492
0.2,-0.4,0.2,0.6921,0.35166,0.59691
0.2,-0.3,0.2,0.65235,0.39141,0.54236
0.2,-0.2,0.2,0.53118,0.50632,0.45764
0.2,-0.1,0.2,0.50531,0.53589,0.45477
0.2,0,0.2,0.4477,0.60179,0.45764
0.2,0.1,0.2,0.50531,0.53589,0.45477
0.2,0.2,0.2,0.53118,0.50632,0.45764
0.2,0.3,0.2,0.65235,0.39141,0.54236
0.2,0.4,0.2,0.6921,0.35166,0.59691
0.2,0.5,0.2,0.75013,0.29362,0.62492
0.2,0.6,0.2,0.74797,0.29578,0.62215
0.2,0.7,0.2,0.75013,0.29362,0.62492
0.2,0.8,0.2,0.8155,0.22826,0.70842
0.2,0.9,0.2,0.85847,0.18529,0.76331
0.2,1,0.2,0.88012,0.16363,0.79097
0.3,-1,0.2,0.91329,0.13047,0.83333
0.3,-0.9,0.2,0.85847,0.18529,0.76331
0.3,-0.8,0.2,0.8155,0.22826,0.70842
0.3,-0.7,0.2,0.8155,0.22826,0.70842
0.3,-0.6,0.2,0.81766,0.22609,0.71118
0.3,-0.5,0.2,0.78282,0.26094,0.66667
0.3,-0.4,0.2,0.72821,0.31555,0.59691
0.3,-0.3,0.2,0.68551,0.35825,0.54236
0.3,-0.2,0.2,0.65235,0.39141,0.54236
0.3,-0.1,0.2,0.6126,0.43116,0.54523
0.3,0,0.2,0.55456,0.48919,0.5
0.3,0.1,0.2,0.6126,0.43116,0.54523
0.3,0.2,0.2,0.65235,0.39141,0.54236
0.3,0.3,0.2,0.68551,0.35825,0.54236
0.3,0.4,0.2,0.72821,0.31555,0.59691
0.3,0.5,0.2,0.78282,0.26094,0.66667
0.3,0.6,0.2,0.81766,0.22609,0.71118
0.3,0.7,0.2,0.8155,0.22826,0.70842
0.3,0.8,0.2,0.8155,0.22826,0.70842
0.3,0.9,0.2,0.85847,0.18529,0.76331
0.3,1,0.2,0.91329,0.13047,0.83333
0.4,-1,0.2,0.91329,0.13047,0.83333
0.4,-0.9,0.2,0.85847,0.18529,0.76331
0.4,-0.8,0.2,0.85847,0.18529,0.76331
0.4,-0.7,0.2,0.85847,0.18529,0.76331
0.4,-0.6,0.2,0.83742,0.20633,0.73643
0.4,-0.5,0.2,0.78282,0.26094,0.66667
0.4,-0.4,0.2,0.72821,0.31555,0.59691
0.4,-0.3,0.2,0.72821,0.31555,0.59691
0.4,-0.2,0.2,0.6921,0.35166,0.59691
0.4,-0.1,0.2,0.65235,0.39141,0.57003
0.4,0,0.2,0.59753,0.44623,0.5
0.4,0.1,0.2,0.65235,0.39141,0.57003
0.4,0.2,0.2,0.6921,0.35166,0.59691
0.4,0.3,0.2,0.72821,0.31555,0.59691
0.4,0.4,0.2,0.72821,0.31555,0.59691
0.4,0.5,0.2,0.78282,0.26094,0.66667
0.4,0.6,0.2,0.83742,0.20633,0.73643
0.4,0.7,0.2,0.85847,0.18529,0.76331
0.4,0.8,0.2,0.85847,0.18529,0.76331
0.4,0.9,0.2,0.85847,0.18529,0.76331
0.4,1,0.2,0.91329,0.13047,0.83333
0.5,-1,0.2,0.91329,0.13047,0.83333
0.5,-0.9,0.2,0.91329,0.13047,0.83333
0.5,-0.8,0.2,0.91329,0.13047,0.83333
0.5,-0.7,0.2,0.88012,0.16363,0.79097
0.5,-0.6,0.2,0.83742,0.20633,0.73643
0.5,-0.5,0.2,0.78282,0.26094,0.66667
0.5,-0.4,0.2,0.78282,0.26094,0.66667
0.5,-0.3,0.2,0.78282,0.26094,0.66667
0.5,-0.2,0.2,0.75013,0.29362,0.62492
0.5,-0.1,0.2,0.70716,0.33659,0.57003
0.5,0,0.2,0.65235,0.39141,0.5
0.5,0.1,0.2,0.70716,0.33659,0.57003
0.5,0.2,0.2,0.75013,0.29362,0.62492
0.5,0.3,0.2,0.78282,0.26094,0.66667
0.5,0.4,0.2,0.78282,0.26094,0.66667
0.5,0.5,0.2,0.78282,0.26094,0.66667
0.5,0.6,0.2,0.83742,0.20633,0.73643
0.5,0.7,0.2,0.88012,0.16363,0.79097
0.5,0.8,0.2,0.91329,0.13047,0.83333
0.5,0.9,0.2,0.91329,0.13047,0.83333
0.5,1,0.2,0.91329,0.13047,0.83333
0.6,-1,0.2,0.92526,0.11849,0.90336
0.6,-0.9,0.2,0.92526,0.11849,0.90336
0.6,-0.8,0.2,0.91743,0.12633,0.87856
0.6,-0.7,0.2,0.87788,0.16588,0.7881
0.6,-0.6,0.2,0.83742,0.20633,0.73643
0.6,-0.5,0.2,0.83742,0.20633,0.73643
0.6,-0.4,0.2,0.83742,0.20633,0.73643
0.6,-0.3,0.2,0.81766,0.22609,0.71118
0.6,-0.2,0.2,0.74797,0.29578,0.62215
0.6,-0.1,0.2,0.70716,0.33659,0.57003
0.6,0,0.2,0.70716,0.33659,0.57003
0.6,0.1,0.2,0.70716,0.33659,0.57003
0.6,0.2,0.2,0.74797,0.29578,0.62215
0.6,0.3,0.2,0.81766,0.22609,0.71118
0.6,0.4,0.2,0.83742,0.20633,0.73643
0.6,0.5,0.2,0.83742,0.20633,0.73643
0.6,0.6,0.2,0.83742,0.20633,0.73643
0.6,0.7,0.2,0.87788,0.16588,0.7881
0.6,0.8,0.2,0.91743,0.12633,0.87856
0.6,0.9,0.2,0.92526,0.11849,0.90336
0.6,1,0.2,0.92526,0.11849,0.90336
0.7,-1,0.2,0.95957,0.084186,0.95825
0.7,-0.9,0.2,0.93938,0.10438,0.93024
0.7,-0.8,0.2,0.91711,0.12664,0.8757
0.7,-0.7,0.2,0.88012,0.16363,0.79097
0.7,-0.6,0.2,0.87788,0.16588,0.7881
0.7,-0.5,0.2,0.88012,0.16363,0.79097
0.7,-0.4,0.2,0.85847,0.18529,0.76331
0.7,-0.3,0.2,0.8155,0.22826,0.70842
0.7,-0.2,0.2,0.75013,0.29362,0.62492
0.7,-0.1,0.2,0.74797,0.29578,0.62215
0.7,0,0.2,0.75013,0.29362,0.62492
0.7,0.1,0.2,0.74797,0.29578,0.62215
0.7,0.2,0.2,0.75013,0.29362,0.62492
0.7,0.3,0.2,0.8155,0.22826,0.70842
0.7,0.4,0.2,0.85847,0.18529,0.76331
0.7,0.5,0.2,0.88012,0.16363,0.79097
0.7,0.6,0.2,0.87788,0.16588,0.7881
0.7,0.7,0.2,0.88012,0.16363,0.79097
0.7,0.8,0.2,0.91711,0.12664,0.8757
0.7,0.9,0.2,0.93938,0.10438,0.93024
0.7,1,0.2,0.95957,0.084186,0.95825
0.8,-1,0.2,1,0.043755,1
0.8,-0.9,0.2,0.93938,0.10438,0.93024
0.8,-0.8,0.2,0.91711,0.12664,0.8757
0.8,-0.7,0.2,0.91711,0.12664,0.8757
0.8,-0.6,0.2,0.91743,0.12633,0.87856
0.8,-0.5,0.2,0.91329,0.13047,0.83333
0.8,-0.4,0.2,0.85847,0.18529,0.76331
0.8,-0.3,0.2,0.8155,0.22826,0.70842
0.8,-0.2,0.2,0.8155,0.22826,0.70842
0.8,-0.1,0.2,0.81766,0.22609,0.71118
0.8,0,0.2,0.78282,0.26094,0.66667
0.8,0.1,0.2,0.81766,0.22609,0.71118
0.8,0.2,0.2,0.8155,0.22826,0.70842
0.8,0.3,0.2,0.8155,0.22826,0.70842
0.8,0.4,0.2,0.85847,0.18529,0.76331
0.8,0.5,0.2,0.91329,0.13047,0.83333
0.8,0.6,0.2,0.91743,0.12633,0.87856
0.8,0.7,0.2,0.91711,0.12664,0.8757
0.8,0.8,0.2,0.91711,0.12664,0.8757
0.8,0.9,0.2,0.93938,0.10438,0.93024
0.8,1,0.2,1,0.043755,1
0.9,-1,0.2,0.99795,0.045805,1
0.9,-0.9,0.2,0.93938,0.10438,0.93024
0.9,-0.8,0.2,0.93938,0.10438,0.93024
0.9,-0.7,0.2,0.93938,0.10438,0.93024
0.9,-0.6,0.2,0.92526,0.11849,0.90336
0.9,-0.5,0.2,0.91329,0.13047,0.83333
0.9,-0.4,0.2,0.85847,0.18529,0.76331
0.9,-0.3,0.2,0.85847,0.18529,0.76331
0.9,-0.2,0.2,0.85847,0.18529,0.76331
0.9,-0.1,0.2,0.83742,0.20633,0.73643
0.9,0,0.2,0.78282,0.26094,0.66667
0.9,0.1,0.2,0.83742,0.20633,0.73643
0.9,0.2,0.2,0.85847,0.18529,0.76331
0.9,0.3,0.2,0.85847,0.18529,0.76331
0.9,0.4,0.2,0.85847,0.18529,0.76331
0.9,0.5,0.2,0.91329,0.13047,0.83333
0.9,0.6,0.2,0.92526,0.11849,0.90336
0.9,0.7,0.2,0.93938,0.10438,0.93024
0.9,0.8,0.2,0.93938,0.10438,0.93024
0.9,0.9,0.2,0.93938,0.10438,0.93024
0.9,1,0.2,0.99795,0.045805,1
1,-1,0.2,1,0.043755,1
1,-0.9,0.2,0.99795,0.045805,1
1,-0.8,0.2,1,0.043755,1
1,-0.7,0.2,0.95957,0.084186,0.95825
1,-0.6,0.2,0.92526,0.11849,0.90336
1,-0.5,0.2,0.91329,0.13047,0.83333
1,-0.4,0.2,0.91329,0.13047,0.83333
1,-0.3,0.2,0.91329,0.13047,0.83333
1,-0.2,0.2,0.88012,0.16363,0.79097
1,-0.1,0.2,0.83742,0.20633,0.73643
1,0,0.2,0.78282,0.26094,0.66667
1,0.1,0.2,0.83742,0.20633,0.73643
1,0.2,0.2,0.88012,0.16363,0.79097
1,0.3,0.2,0.91329,0.13047,0.83333
1,0.4,0.2,0.91329,0.13047,0.83333
1,0.5,0.2,0.91329,0.13047,0.83333
1,0.6,0.2,0.92526,0.11849,0.90336
1,0.7,0.2,0.95957,0.084186,0.95825
1,0.8,0.2,1,0.043755,1
1,0.9,0.2,0.99795,0.045805,1
1,1,0.2,1,0.043755,1
-1,-1,0.3,0.94889,0.0406,0.95674
-1,-0.9,0.3,0.94695,0.042502,0.95674
